epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3860.31,0.92413,1.78069,0.98598,1.19903,0,0.79942,0.74253,0.79925,0.6357,0.80329,0.7427,0.79852,0.60023,1.01966,1.83352,1.02913,1.24784,0,0.000460629,0.000460629,0.000460629
39,3960.75,0.92304,1.76813,0.97155,1.18965,0,0.81679,0.73175,0.80628,0.64526,0.8142,0.73344,0.80439,0.60644,1.02407,1.79904,0.99196,1.2493,0,0.000438555,0.000438555,0.000438555
40,4061.15,0.90973,1.7531,0.95374,1.18748,0,0.79847,0.7691,0.81374,0.64781,0.81083,0.76838,0.81092,0.60776,0.99322,1.79417,0.96534,1.23216,0,0.000416614,0.000416614,0.000416614
41,4162.2,0.8987,1.72467,0.92891,1.17135,0,0.81751,0.7679,0.82042,0.66127,0.81242,0.77133,0.82135,0.62263,0.97954,1.75942,0.93769,1.21532,0,0.000394852,0.000394852,0.000394852
42,4262.95,0.89297,1.70469,0.92082,1.17263,0,0.80613,0.77404,0.82451,0.66134,0.82751,0.77018,0.82375,0.62067,0.98723,1.75434,0.96635,1.22814,0,0.000373312,0.000373312,0.000373312
43,4364.35,0.8864,1.70546,0.91709,1.16502,0,0.81813,0.76259,0.82604,0.66657,0.81886,0.76319,0.82479,0.62313,0.97606,1.73192,0.94129,1.21424,0,0.000352037,0.000352037,0.000352037
44,4464.65,0.87921,1.6788,0.89043,1.15684,0,0.84677,0.75338,0.83214,0.67623,0.85152,0.75673,0.83428,0.63484,0.95407,1.70598,0.90279,1.1994,0,0.000331069,0.000331069,0.000331069
45,4565.82,0.87638,1.66862,0.86837,1.15292,0,0.83605,0.7743,0.83289,0.67349,0.83013,0.78345,0.83133,0.62909,0.96076,1.73644,0.90978,1.19909,0,0.000310453,0.000310453,0.000310453
46,4666.34,0.86409,1.65531,0.85159,1.14623,0,0.80026,0.80272,0.84556,0.68091,0.80127,0.80331,0.8447,0.63875,0.952,1.69338,0.86168,1.19391,0,0.000290228,0.000290228,0.000290228
47,4767.27,0.85299,1.6337,0.84266,1.14379,0,0.8267,0.79846,0.84769,0.68801,0.82957,0.8009,0.84953,0.64429,0.93693,1.66839,0.86142,1.18074,0,0.000270435,0.000270435,0.000270435
48,4867.66,0.84114,1.62915,0.83198,1.13809,0,0.83779,0.7944,0.85469,0.69526,0.83807,0.79642,0.85248,0.64977,0.91658,1.65117,0.84408,1.16293,0,0.000251115,0.000251115,0.000251115
49,4968.24,0.8421,1.61927,0.82825,1.13339,0,0.82155,0.8066,0.85379,0.6965,0.83652,0.79965,0.85178,0.65142,0.91796,1.65577,0.83128,1.1686,0,0.000232306,0.000232306,0.000232306
50,5069.02,0.83577,1.60725,0.81551,1.12679,0,0.84548,0.79362,0.85417,0.69453,0.86215,0.7875,0.85091,0.64834,0.92252,1.67111,0.82823,1.17005,0,0.000214046,0.000214046,0.000214046
51,5169.52,0.83238,1.5843,0.79756,1.12253,0,0.84906,0.79844,0.85535,0.6968,0.85567,0.79999,0.85599,0.65072,0.91758,1.6602,0.8237,1.17018,0,0.000196373,0.000196373,0.000196373
